symbol,status,folds,parquet,years
V,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/V/wfo_metrics.parquet,
USD_ZAR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_ZAR/wfo_metrics.parquet,
USOIL.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USOIL.cash/wfo_metrics.parquet,
VOWG_p,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/VOWG_p/wfo_metrics.parquet,
WHEAT.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/WHEAT.c/wfo_metrics.parquet,
WMT,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/WMT/wfo_metrics.parquet,
XAG_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAG_AUD/wfo_metrics.parquet,
XAG_EUR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAG_EUR/wfo_metrics.parquet,
XAG_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAG_USD/wfo_metrics.parquet,
XCU_USD,not_enough_years,,,2
XAU_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAU_AUD/wfo_metrics.parquet,
XPD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XPD_USD/wfo_metrics.parquet,
XAU_EUR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAU_EUR/wfo_metrics.parquet,
XAU_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAU_USD/wfo_metrics.parquet,
XMRUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XMRUSD/wfo_metrics.parquet,
ZM,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/ZM/wfo_metrics.parquet,
XPT_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XPT_USD/wfo_metrics.parquet,
XRPUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XRPUSD/wfo_metrics.parquet,
