symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
FRA40.cash,0.74,ok,index,H4,147,-2474.51,6416.3,6.42,-0.62,-0.39,0.9,34.7,-0.0775,9.1,27
FRA40.cash,0.75,ok,index,H4,143,-587.73,4737.97,4.74,-0.15,-0.12,0.98,36.4,-0.0314,9.3,27
NZDCHF,0.44,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.45,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.46,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.47,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.48,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.49,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.5,ok,forex,H4,157,-5679.82,6818.7,6.82,-0.94,-0.83,0.81,36.9,-0.0444,16.7,35
NZDCHF,0.51,ok,forex,H4,157,-3545.61,5657.9,5.66,-0.58,-0.63,0.88,38.9,-0.0176,16.6,35
NZDCHF,0.52,ok,forex,H4,154,-5677.32,7552.72,7.55,-0.94,-0.75,0.81,35.1,-0.042,16.8,35
NZDCHF,0.53,ok,forex,H4,152,-6065.99,6651.69,6.65,-0.99,-0.91,0.8,35.5,-0.0688,16.4,35
NZDCHF,0.54,ok,forex,H4,146,-6663.23,7255.43,7.26,-1.14,-0.92,0.78,34.2,-0.0737,16.2,35
NZDCHF,0.55,ok,forex,H4,135,-5819.66,7049.02,7.05,-1.08,-0.83,0.79,36.3,-0.0685,17.0,35
NZDCHF,0.56,ok,forex,H4,130,-8863.71,10294.56,10.29,-1.79,-0.86,0.68,33.8,-0.1148,16.7,35
NZDCHF,0.57,ok,forex,H4,121,-12217.3,13927.74,13.93,-2.85,-0.88,0.54,31.4,-0.1632,16.5,35
NZDCHF,0.58,ok,forex,H4,114,-10851.91,12433.65,12.43,-2.95,-0.87,0.54,31.6,-0.153,16.5,35
NZDCHF,0.59,ok,forex,H4,104,-7522.86,9863.11,9.86,-2.17,-0.76,0.62,33.7,-0.1206,17.3,35
NZDCHF,0.6,ok,forex,H4,91,-9189.79,10608.6,10.61,-3.05,-0.87,0.53,31.9,-0.1766,16.6,35
NZDCHF,0.61,ok,forex,H4,79,-8251.1,9551.34,9.55,-3.06,-0.86,0.53,31.6,-0.2049,16.5,35
NZDCHF,0.62,ok,forex,H4,59,-5039.85,6357.15,6.36,-2.34,-0.79,0.62,30.5,-0.1217,16.6,35
NZDCHF,0.63,ok,forex,H4,45,-5939.79,5975.75,5.98,-3.85,-0.99,0.43,24.4,-0.2361,16.8,35
NZDCHF,0.64,ok,forex,H4,29,-4534.33,4692.87,4.69,-4.51,-0.97,0.39,20.7,-0.2917,15.9,35
NZDCHF,0.65,ok,forex,H4,25,-2440.53,2693.23,2.69,-2.63,-0.91,0.57,28.0,-0.1799,16.8,35
