symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
XAU_AUD,ok,commodity,metals,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.1,1.0,-250107.98,265616.74,265.62,-3.1,-0.94,0.79,-0.0261,15.0,1364,4.9,35,0.9143,0.1924,59.0,1.5,25.8,11.5,2.1,false,true,92,1272
ALVG,ok,equity,eu_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,10.4,5.0,-87209.19,92053.1,92.05,-4.38,-0.95,0.73,-0.0852,19.3,441,4.6,11,1.1036,0.3691,51.2,1.6,29.5,16.8,0.9,false,true,116,325
DOGEUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,47.7,25.2,-449534.85,473271.12,473.27,-4.88,-0.95,0.62,-0.4511,13.9,1648,6.7,52,4.4613,1.2439,35.9,2.9,49.2,5.9,6.1,false,true,87,1561
LTCUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,50.4,27.9,-118174.32,124200.85,124.2,-1.96,-0.95,0.79,-0.2676,27.2,913,14.7,52,3.8961,1.8204,36.4,4.5,32.5,12.4,14.2,false,true,83,830
NZD_JPY,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.0,1.5,-239071.8,251443.64,251.44,-5.31,-0.95,0.67,-0.0406,29.5,1202,6.1,37,0.3539,0.2053,42.4,0.8,25.5,28.1,3.2,false,true,96,1106
EUR_JPY,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.3,0.8,-137202.52,142222.82,142.22,-3.32,-0.96,0.78,-0.0213,41.8,1147,6.4,37,0.2316,0.2033,37.8,0.6,17.4,39.8,4.3,false,true,93,1054
NZD_CAD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.3,1.8,-426434.03,444955.87,444.96,-7.29,-0.96,0.59,-0.0408,19.5,1301,5.5,37,0.2982,0.123,41.5,1.4,37.6,15.9,3.6,false,true,91,1210
AUD_USD,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.1,0.6,-234923.61,242597.73,242.6,-2.85,-0.97,0.8,-0.0189,15.9,1341,5.4,37,0.4819,0.1135,52.3,0.7,31.5,12.5,3.0,false,true,90,1251
CAD_JPY,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.9,1.4,-227659.72,235282.77,235.28,-5.1,-0.97,0.68,-0.0413,24.7,1193,6.2,37,0.3794,0.1795,39.0,1.5,35.5,21.5,2.4,false,true,96,1097
EUR_NOK,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,8.1,4.6,-401839.4,412510.83,412.51,-10.58,-0.97,0.5,-0.0546,39.7,1223,5.7,37,0.1644,0.1985,36.3,2.0,21.2,37.3,3.2,false,true,88,1135
USD_ILS,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,9.8,6.3,-167150.28,172663.57,172.66,-5.54,-0.97,0.68,-0.0509,47.9,1183,5.6,37,0.2225,0.3025,27.7,0.5,13.0,43.2,15.6,false,true,85,1098
USD_NOK,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,8.1,4.6,-286143.03,296138.44,296.14,-5.77,-0.97,0.61,-0.0636,34.4,1048,7.3,37,0.3082,0.2581,40.3,1.0,23.6,31.7,3.5,false,true,87,961
USD_PLN,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,8.5,5.0,-275269.39,283394.88,283.39,-6.09,-0.97,0.62,-0.0568,34.4,1026,7.7,37,0.284,0.2355,37.1,1.5,27.7,31.1,2.6,false,true,86,940
USD_SEK,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,8.7,5.2,-753117.5,776801.29,776.8,-7.89,-0.97,0.58,-0.061,18.1,1350,5.4,37,0.4592,0.1763,61.4,1.0,20.3,13.9,3.3,false,true,96,1254
XTZUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,71.5,49.0,-74490.65,77187.33,77.19,-3.08,-0.97,0.69,-0.4973,26.5,339,13.4,18,4.015,2.1283,38.1,2.9,33.0,18.3,7.7,false,true,96,243
BAC,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,24.4,19.0,-48989.06,50219.19,50.22,-6.89,-0.98,0.61,-0.213,24.1,187,6.4,7,1.7889,0.8474,40.6,1.6,33.2,20.3,4.3,false,true,86,101
CADCHF,ok,index,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.9,1.9,-348625.15,356000.9,356.0,-6.78,-0.98,0.64,-0.0319,31.4,1243,5.9,37,0.2308,0.1521,46.8,2.6,21.2,27.0,2.4,false,true,86,1157
CAD_CHF,ok,index,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.9,1.9,-348625.15,356000.9,356.0,-6.78,-0.98,0.64,-0.0319,31.4,1243,5.9,37,0.2308,0.1521,46.8,2.6,21.2,27.0,2.4,false,true,86,1157
DOTUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,57.8,35.3,-436258.76,445688.17,445.69,-6.88,-0.98,0.55,-0.5125,23.5,1344,8.7,52,3.304,1.6857,40.8,2.0,30.9,15.3,10.9,false,true,92,1252
EUR_CAD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.5,1.0,-399158.21,408708.62,408.71,-5.47,-0.98,0.64,-0.0278,18.4,1162,6.7,37,0.2915,0.0999,49.4,2.3,31.2,12.9,4.2,false,true,80,1082
EUR_GBP,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.3,0.8,-521279.72,532042.26,532.04,-7.82,-0.98,0.55,-0.0319,26.8,1154,6.6,37,0.1604,0.1022,46.4,0.9,23.9,22.4,6.4,false,true,79,1075
GBP_NZD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.5,1.0,-250063.5,255185.18,255.19,-4.9,-0.98,0.71,-0.0285,28.2,1177,6.5,37,0.2564,0.1405,46.7,1.4,23.4,25.1,3.3,false,true,94,1083
GBP_USD,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.0,0.5,-389519.43,398183.49,398.18,-5.11,-0.98,0.7,-0.0214,18.1,1368,5.3,37,0.3237,0.0974,51.1,1.0,30.6,14.8,2.4,false,true,79,1289
N25.cash,ok,index,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,17.4,14.4,-206127.03,210171.73,210.17,-8.25,-0.98,0.53,-0.1223,25.9,548,7.3,19,0.7347,0.422,40.3,1.8,33.0,21.7,3.1,false,true,100,448
NZD_CHF,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,6.1,2.6,-344152.52,350119.66,350.12,-6.0,-0.98,0.64,-0.0403,21.6,1192,6.2,37,0.3843,0.157,42.1,1.4,35.0,14.7,6.8,false,true,97,1095
NZD_USD,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.9,1.4,-541413.15,550944.56,550.94,-21.99,-0.98,0.36,-0.0661,12.5,792,2.8,37,0.2843,0.1162,56.4,0.9,30.6,11.4,0.8,false,true,61,731
XPT_USD,ok,commodity,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,32.0,25.9,-229033.39,234836.75,234.84,-6.41,-0.98,0.59,-0.2221,39.7,902,8.4,35,0.9981,1.0252,33.9,1.4,22.1,36.7,5.9,false,true,96,806
AIRF,ok,equity,unknown,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,56.2,50.8,-110884.7,111925.06,111.93,-9.32,-0.99,0.52,-0.4757,29.8,332,6.7,11,2.1967,1.6112,40.1,3.0,28.9,25.0,3.0,false,true,93,239
AUDNZD,ok,index,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.1,1.1,-185882.89,187867.36,187.87,-7.23,-0.99,0.54,-0.0375,33.7,885,9.5,37,0.1369,0.126,28.1,1.8,31.6,28.2,10.2,false,true,96,789
AUD_CHF,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.1,1.6,-371141.89,373408.14,373.41,-4.98,-0.99,0.69,-0.0295,19.7,1261,5.9,37,0.4274,0.1413,52.7,1.2,27.2,16.6,2.3,false,true,98,1163
AUD_NZD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.6,1.1,-210901.32,212688.73,212.69,-8.2,-0.99,0.5,-0.0425,33.6,885,9.5,37,0.1323,0.1308,28.1,1.8,31.6,28.2,10.2,false,true,96,789
BCHUSD,ok,crypto,unknown,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,39.5,17.0,-141945.56,143806.27,143.81,-2.42,-0.99,0.79,-0.2942,30.5,1092,10.0,51,2.9699,1.7263,41.2,1.6,23.2,15.5,18.5,false,true,71,1021
