symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
XCU_USD,H4,ok,commodity,818,17,1625,200,17.044488803250214,0.5753364345684225,3.529632617312111,1.2280328933854294,3.5782547735033288,0.5142125683042249,33,12.5,0.13999999999999999,8.34999670394857,2.0,0.02663881478585256
UKOIL.cash,H4,ok,commodity,1650,34,3002,200,16.72491026244879,1.6556009096843132,7.106079302233677,1.0339706287836634,2.0608110255512266,1.779976584353243,12,8.7,0.0,2.6754063273354323,3.0,0.021730516587362088
XAG_AUD,H4,ok,commodity,1592,34,3001,200,14.590826256961313,0.9146252184316647,6.560212780193143,0.45132366457714873,3.255932902471038,1.6343312095271916,32,8.3,0.13999999999999999,4.121826865349976,2.0,0.010310163964285876
FRA40.cash,H4,ok,index,1197,26,2370,200,13.041342933077573,0.6455059282838604,7.596655005930547,0.8995243018030158,3.004339189801776,0.335072215547473,36,5.0,0.0,1.9992239037647894,1.5,0.018417386863782522
US30.cash,H4,ok,index,1622,34,2987,200,12.767212563987433,0.8697089110510541,7.817507766587351,1.2301593880333375,3.8184968246925672,1.821206495727003,24,3.5,0.0,0.4632369971955916,1.5,0.028046855875577918
NVDA,H1,ok,equity,1806,7,3386,200,11.403927247146267,1.2685835167097497,6.905640233195986,0.3335538351941977,2.601060941116267,1.8465886964126061,30,11.0,0.4,5.568858940802714,2.5,0.007031802288630601
AMZN,H4,ok,equity,530,8,932,200,10.513082234833357,0.5091442516304152,6.255101950602066,0.5392998415516403,1.0011096924228027,0.5595361875075605,17,10.3,0.4,4.884872438218071,2.5,0.010641776374057915
BNBUSD,H4,ok,crypto,786,16,1606,200,10.33431931698152,2.929937696614021,9.662273304919722,1.0846379479893973,3.628027819107061,2.2957864311050833,44,22.8,6.5,0.2932236025519174,8.0,0.021955805779840742
USOIL.cash,H4,ok,commodity,1667,34,3000,200,9.939552382342223,0.871184296625729,7.767757729386576,0.9068068320176869,1.631102377712814,0.9697908365418615,25,9.9,0.0,3.8984148542171044,3.0,0.025212345318757316
EUR_USD,H4,ok,forex,1574,34,3014,200,8.925976404198,0.8172173578757129,7.914063883775598,0.7289604118057925,3.8417738709004663,0.6749995998054723,34,3.8,0.5,0.27465107869187805,1.5,0.026621341688087254
RACE,H4,ok,equity,535,8,932,200,7.792461171124353,0.8706022990709255,6.921991695581163,0.4370963653535145,3.7182507481962235,0.39112297927439077,13,26.4,0.4,20.967017268988975,2.5,0.0052087843408348215
EUR_JPY,H4,ok,forex,1645,34,3014,200,7.557778403630502,1.7481670543447305,6.323968950166056,1.494959158591696,3.576779691245997,0.6965646286700793,22,4.3,0.5,0.8469814991000176,1.5,0.013221095570715845
XAG_EUR,H4,ok,commodity,1606,34,3001,200,7.449043867266612,0.8041023946954762,7.080533527605788,1.3080076591426044,3.791505923018069,1.5773116256235484,26,8.7,0.13999999999999999,4.552049844945301,2.0,0.026426901593278998
AUD_JPY,H4,ok,forex,1632,34,3014,200,7.276723010544355,0.5618839739103412,7.786365878174827,1.2145721385886952,3.936939367815648,0.6819343514312016,20,4.7,0.5,1.235152438396819,1.5,0.012327365330993042
