symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
COCOA.c,M15,ok,commodity,9023,10,17022,200,0.004769469041979425,1.6430948320573044,7.058105022373125,1.4250954326635425,3.2040823903941895,0.3213512137955402,19,27.2,0.0,19.182529142687837,4.0,0.008240294581710756
COCOA.c,M30,ok,commodity,4668,7,8731,200,1.3805061212676497,1.482971670481034,7.991868099218472,1.0612864356757528,3.723016454925844,1.4505085179727564,30,27.2,0.0,19.182529142687837,4.0,0.01014267164042369
COFFEE.c,H1,ok,commodity,2605,12,4836,200,0.27170723197073793,1.4461631494983413,5.0423638522100225,0.7878243893935926,1.2525925995241431,1.727439620698784,30,16.6,0.0,8.618367896579402,4.0,0.012567302719954617
COFFEE.c,H4,ok,commodity,1050,20,1883,200,5915.45250367218,1.306164361224951,7.806148493567379,1.3117753485458803,3.8774959664624453,1.3603671801234094,33,16.6,0.0,8.618367896579402,4.0,0.025655378451073695
COFFEE.c,M15,ok,commodity,9831,10,17994,200,0.011108902883319255,1.6750668381450509,7.5166877859271075,1.484931894954546,3.6386177180742494,0.45565225347956567,33,16.6,0.0,8.618367896579402,4.0,0.006248922935531264
COFFEE.c,M30,ok,commodity,5016,7,9217,200,0.07228712552294594,2.419145695095662,7.302775357983953,1.3910112020258663,1.507146761530306,0.703279325518599,33,16.6,0.0,8.618367896579402,4.0,0.017064507813438202
DASHUSD,H1,ok,crypto,8572,52,16605,200,0.030922800546804793,0.9258431423324112,4.628432472878767,1.101157226521825,3.6268188312271055,1.3920550001275633,45,31.6,6.5,9.131030284581959,8.0,0.02512554920417982
DASHUSD,H4,ok,crypto,2175,49,4201,200,4652.322638301376,1.655308201868136,8.141569197077102,1.658466640550748,1.6588669579846123,1.3330579785490075,45,31.6,6.5,9.131030284581959,8.0,0.029161155202103585
DASHUSD,M15,ok,crypto,33951,51,66514,200,-0.11702450049000543,1.9300593855368586,7.942935563690107,1.9482130883393727,4.763016196691255,0.5307354746562087,23,31.6,6.5,9.131030284581959,8.0,0.0053786059275689226
DASHUSD,M30,ok,crypto,17069,37,33240,200,0.015158565427867268,1.8367349440718699,8.078800764535501,1.8741058773948571,4.615063984981028,0.666013847776959,22,31.6,6.5,9.131030284581959,8.0,0.008482252885906948
DBKGn,H1,ok,equity,2392,11,4433,200,3.0922454744590553,1.0120860326000736,6.9734683774930595,0.6541184845260004,1.030488826126431,1.0413296040884517,31,15.9,0.4,10.480349344978563,2.5,0.013903939837145702
DBKGn,H4,ok,equity,799,14,1446,200,4.681880359042756,0.5827200093915766,7.080270207305904,0.6525749678093768,2.9793763492745966,1.037135049740455,26,15.9,0.4,10.480349344978563,2.5,0.00701600407634575
