symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
BTCUSD,M15,ok,crypto,bars,200,79,100182,200,3615.3616326519273,2.064498496209841,9.983500902808197,1.7042599874169824,3.0441778020927552,0.5378657959196436,37,24.0,3.0,15.0,3.0,0.026231823885137003
BTCUSD,M30,ok,crypto,bars,447,121,100173,200,1747.1478178067803,1.7890749305765716,9.331200347995003,1.9014087286596857,4.988443166171865,1.7655128028159204,20,24.0,3.0,15.0,3.0,0.02982119365565089
DBKGn,H1,ok,equity,bars,7764,43,14182,200,0.0958401804024412,2.0728748406840234,3.7984504315257848,0.7344167359637086,3.9887544952660936,1.2049521918620065,7,12.0,3.0,3.0,3.0,0.01815462130202063
DBKGn,H4,ok,equity,bars,2673,57,4835,200,1658.1205307067657,1.4182476465666263,7.913553736615548,1.4204736237911622,1.5003480898768278,1.4876847360381138,32,12.0,3.0,3.0,3.0,0.02886716221351361
DBKGn,M1,ok,equity,bars,52761,36,100064,200,-0.5544839644779498,2.4943767764490734,7.7743526871900235,1.2914184658608703,1.5933481183884004,1.838024938962075,36,12.0,3.0,3.0,3.0,0.005503716162995115
DBKGn,M15,ok,equity,bars,21920,31,42225,200,0.04054440657205373,1.4649405645657754,7.813957541939611,0.8959910907629695,3.651129373292506,1.0133366481967465,35,12.0,3.0,3.0,3.0,0.0053243474662097445
DBKGn,M30,ok,equity,bars,12287,25,23158,200,1.154046497697254,1.7504391992098234,5.414831234726403,1.262738353543102,1.5578837410493036,0.34742772546604195,30,12.0,3.0,3.0,3.0,0.008292025665970443
DOGEUSD,H1,ok,crypto,bars,6502,123,37953,200,1305.6851223870096,0.9880790408984079,8.233999530598597,1.774405776707465,3.4162552844438636,2.164546979318669,44,24.0,3.0,15.0,3.0,0.025668809102041328
DOGEUSD,H4,ok,crypto,bars,4843,119,9799,200,867.8709206949188,2.0712902821551564,7.0080104884965495,1.618501212906371,1.8503280919527456,2.4529936497786142,45,24.0,3.0,15.0,3.0,0.013242416775194608
DOGEUSD,M1,ok,crypto,bars,14297,36,100069,200,-0.3960624266114168,2.9287103311340856,6.615522088376068,1.7966666214622296,3.5544685845023642,2.102541532123709,37,24.0,3.0,15.0,3.0,0.005465418967783953
DOGEUSD,M15,ok,crypto,bars,16547,79,100182,200,-0.0006025685901482368,2.7055875207048574,7.207805082202461,1.5037233822532774,1.5720457300353086,2.4398197043239884,41,24.0,3.0,15.0,3.0,0.010308477766956904
DOGEUSD,M30,ok,crypto,bars,12041,88,73552,200,0.0326556238907105,2.748268600745841,9.385290196400852,1.6890735849870233,4.116342931416326,2.218075984152086,47,24.0,3.0,15.0,3.0,0.008901725589774525
EU50.cash,H1,ok,index,bars,14283,86,27050,200,0.2787916989779528,2.1843000402688255,7.805552746812757,0.6808990613300745,2.1649541093829168,1.9207994311892698,35,6.0,0.0,2.0,2.0,0.02599478343345845
EU50.cash,H4,ok,index,bars,3991,88,7356,200,236.50709025218822,2.008873592170627,7.924404305936302,0.6247620025677278,2.4545879907559396,1.736693291953257,32,6.0,0.0,2.0,2.0,0.021846422785144117
EU50.cash,M1,ok,index,bars,8588,36,100067,200,-0.41480038051667306,2.4552504363177237,7.455252932164591,1.3639873949820465,3.027625638625368,1.4899296215863076,24,6.0,0.0,2.0,2.0,0.0050463397246055045
EU50.cash,M15,ok,index,bars,48721,73,93085,200,-0.16519103062753848,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,6.0,0.0,2.0,2.0,0.0053786059275689226
EU50.cash,M30,ok,index,bars,25984,57,49099,200,0.010314320144162285,1.8539123534596225,6.554927336569017,0.7343890250090734,1.5102418717818964,0.8648154470965875,30,6.0,0.0,2.0,2.0,0.008564934491351546
GER40.cash,H1,ok,index,bars,14707,89,27818,200,0.015747917384979875,1.963149479247178,6.494652141542547,0.4457996769567298,3.3356054086998097,1.3358472800699301,29,11.0,3.0,2.0,3.0,0.015027023108839849
GER40.cash,H4,ok,index,bars,4151,93,7735,200,308.3450298282337,1.684829137724085,2.278702476319986,1.029053822281726,1.5115723710618747,0.41058770807497513,35,11.0,3.0,2.0,3.0,0.02914080082686398
GER40.cash,M1,ok,index,bars,52227,36,100067,200,-2.549424495788096,2.4982302778185876,6.632968458617614,1.1934116905737349,1.6058926421289075,1.8602536998203005,16,11.0,3.0,2.0,3.0,0.005017559717851998
GER40.cash,M15,ok,index,bars,49163,75,95883,200,-0.24071378972357393,2.347347709455817,6.796348661384832,1.2364864266086164,2.401157743272233,1.9959661927101455,36,11.0,3.0,2.0,3.0,0.006363941209732963
GER40.cash,M30,ok,index,bars,26292,59,50514,200,-0.140143225622641,2.482554392287199,4.461322535535859,1.3611842145102782,3.2572767611888547,1.4742053503371897,29,11.0,3.0,2.0,3.0,0.009482484002385369
GOOG,H1,ok,equity,bars,6356,35,11741,200,0.5977195068936477,1.6685442254928422,6.698844335477839,1.4220385576562868,3.05459666604934,0.9704128480111561,10,12.0,3.0,3.0,3.0,0.01629712185520417
GOOG,H4,ok,equity,bars,1940,40,3453,200,16.5974091818329,2.1167946962329225,3.8276826150402243,0.4172065368076606,3.052699079536471,1.0482592393573222,9,12.0,3.0,3.0,3.0,0.017379422752781752
