symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
DBKGn,H1,ok,equity,bars,7764,43,14182,200,0.9732899688396479,2.240585985443872,4.110925849389297,0.49210765848374877,1.160488127797877,0.4032744100598382,11,8.4,0.4,3.0,2.5,0.02711002013268957
DBKGn,H4,ok,equity,bars,2673,57,4835,200,1270.0805751898188,1.6740116367329594,4.653581519379087,1.445017100530012,1.86450348623126,1.529364038233141,19,8.4,0.4,3.0,2.5,0.02360940544221959
DBKGn,M1,ok,equity,bars,52761,36,100064,200,-0.3521163304721113,2.4989845334600553,7.14933573956223,1.3280242961717,2.0860807754876416,1.8510481269184862,36,8.4,0.4,3.0,2.5,0.005044406223641094
DBKGn,M15,ok,equity,bars,21920,31,42225,200,0.07333354890705891,1.4735949969198763,6.357649100447832,1.4970786095346376,3.9812057113676853,0.31568703737556675,19,8.4,0.4,3.0,2.5,0.005714090431073919
DBKGn,M30,ok,equity,bars,12287,25,23158,200,2.8624254039123502,1.8148024708915014,7.714066689918384,1.2204850701741894,1.2264018260156864,0.36593469322294775,35,8.4,0.4,3.0,2.5,0.006775521754052809
DOGEUSD,H1,ok,crypto,bars,16352,123,37953,200,0.1089562192563221,2.7055875207048574,7.207805082202461,1.5037233822532774,1.5720457300353086,2.4398197043239884,41,37.5,6.5,15.0,8.0,0.010308477766956904
DOGEUSD,H4,ok,crypto,bars,4843,119,9799,200,1191.033800000794,2.122891486376052,8.949324025210275,1.6193141165521772,4.687293565481777,1.7302282900948192,46,37.5,6.5,15.0,8.0,0.025265935771069545
DOGEUSD,M1,ok,crypto,bars,42933,36,100069,200,-0.7207825907427259,2.8497517890757775,9.031166452473606,1.7474994520907572,3.9599365486736082,2.264662624967539,46,37.5,6.5,15.0,8.0,0.005016143509722328
DOGEUSD,M15,ok,crypto,bars,42576,79,100182,200,-0.059697277213818206,2.616351204887472,9.469049789413216,1.5887302209150056,4.79393052941715,1.5258457657108377,34,37.5,6.5,15.0,8.0,0.009600027370224905
DOGEUSD,M30,ok,crypto,bars,31109,88,73552,200,0.008060066368289537,2.943522223058718,9.718061487809667,1.795504136775857,4.231745670964941,1.7096627715862813,47,37.5,6.5,15.0,8.0,0.016580258721812433
EU50.cash,H1,ok,index,bars,14283,86,27050,200,0.1800559189561097,0.5338725463627737,6.514791098160702,0.9286045753690214,2.116538173887662,1.9179264357693298,33,5.0,0.0,2.0,1.5,0.006030195107005384
EU50.cash,H4,ok,index,bars,3991,88,7356,200,22.322222502173613,2.445853610052587,7.14713657580529,0.47817100835610715,1.6789386845317096,1.254248685430273,21,5.0,0.0,2.0,1.5,0.027703240483747768
EU50.cash,M1,ok,index,bars,26139,36,100067,200,-0.6330376390870932,2.4191214165973003,5.751330124703091,1.4862650204249928,1.5242064374971451,1.0672408713725285,20,5.0,0.0,2.0,1.5,0.005009201125416903
EU50.cash,M15,ok,index,bars,48721,73,93085,200,-0.10697034758135374,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,5.0,0.0,2.0,1.5,0.0053786059275689226
