symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
UNIUSD,ok,crypto,crypto,H4,2.03,9.19,4.5,1.11,1.95,0.86,36,2.91,25.5,3.0,10473.22,26266.3,26.27,0.46,0.4,1.1,0.1723,32.7,110,10.7,18,7.2944,3.2925,29.1,1.8,35.5,29.1,4.5,false,true,22,88
USOIL.cash,ok,commodity,oil,H4,0.87,7.77,8.9,0.91,1.63,0.97,25,2.52,9.9,3.9,5713.27,14148.15,14.15,0.31,0.4,1.05,-0.0024,35.8,137,7.2,35,1.8598,1.0393,26.3,2.2,35.0,35.0,1.5,false,true,14,123
FRA40.cash,ok,index,eu_idx,H4,0.65,7.6,11.8,0.9,3.0,0.34,36,1.84,5.0,2.0,12984.44,40799.76,40.8,0.34,0.32,1.04,0.0106,22.6,288,4.4,27,1.2043,0.3374,45.5,2.4,31.2,16.7,4.2,false,true,26,262
BAYGn,ok,equity,eu_equity,H4,1.37,7.16,5.2,1.39,3.19,1.77,25,2.75,20.0,14.6,15807.73,55246.34,55.25,0.36,0.29,1.06,0.1331,23.6,148,5.8,15,4.9015,1.3438,53.4,4.1,21.6,15.5,5.4,false,true,27,121
EU50.cash,ok,index,eu_idx,H4,0.74,3.98,5.4,0.34,2.89,1.33,8,2.57,6.1,3.1,7145.88,24841.95,24.84,0.34,0.29,1.04,0.0304,39.6,139,5.9,27,1.0405,0.631,38.8,1.4,18.7,35.3,5.8,false,true,15,124
META,ok,equity,us_equity,H4,2.46,7.39,3.0,1.42,1.57,1.68,36,1.19,10.7,5.3,1346.32,7267.51,7.27,0.25,0.19,1.04,0.1887,31.9,69,7.1,8,3.9483,1.5711,36.2,5.8,31.9,24.6,1.4,true,true,32,37
MSFT,ok,equity,us_equity,H4,1.08,7.71,7.2,1.13,3.55,1.48,35,1.39,8.8,3.4,2590.84,21452.78,21.45,0.32,0.12,1.05,0.0474,23.3,86,4.8,8,3.3529,0.9543,36.0,1.2,38.4,18.6,5.8,false,true,32,54
XCU_USD,ok,commodity,metals,H4,0.58,3.53,6.1,1.23,3.58,0.51,33,2.66,12.4,8.2,5002.17,63612.18,63.61,0.12,0.08,1.02,0.0681,17.8,157,6.4,18,3.5203,0.6812,45.9,3.8,35.0,10.2,5.1,false,true,28,129
XAU_EUR,ok,commodity,metals,H4,1.0,5.45,5.4,0.63,3.32,1.7,35,3.0,5.7,1.6,4983.06,104198.18,104.2,0.06,0.05,1.01,0.002,21.7,286,7.7,35,2.0317,0.5598,44.8,5.9,33.6,13.3,2.4,false,true,21,265
DASHUSD,ok,crypto,crypto,H4,1.66,8.14,4.9,1.66,1.66,1.33,45,2.92,31.4,8.9,1860.14,66353.33,66.35,0.02,0.03,1.0,-0.2363,29.4,306,11.3,50,8.5974,3.9171,47.7,3.6,20.6,19.3,8.8,false,true,24,282
