symbol,status,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
DOTUSD,ok,0,H4,-0.001616271146995441,159,4,0.01301934977069125,0.5327583915355699,0.7711041450416947,0.010220511294500087,0.00688171534209604,71.2928166621931,0.011958482796684782,0.3447640246182145,600,5037,cuda,crypto,-0.001616271146995441,6.5,35.128096420568006,8.0,39,false
DXY.cash,ok,0,H4,-0.0005997793106909212,723,3,0.33408268469853464,0.8316855591938186,0.7531630706327533,0.00003542624258027495,0.012986036421187352,10.246969309843848,0.010985770928610571,0.3499293774690247,600,940,cuda,forex,-0.0005997793106909212,0.13999999999999999,2.693627712784641,3.0,39,false
ETCUSD,ok,0,H4,0.006677444675973506,1374,6,0.09771415692692388,0.4084408576292361,0.31185318175856463,0.006315451261292018,0.0032801476061885947,3.414474752292202,0.11091231309154508,0.43037994944180374,600,8875,cuda,crypto,0.006677444675973506,6.5,4.040313348746533,8.0,39,false
ETHUSD,ok,0,H4,0.00005563167718433504,1942,9,0.09830689061558445,0.8642296219560592,0.6626513161773779,2.789209246010013,0.012544702550976262,41.004695362796724,0.006163716568774374,0.9877409791575664,600,8816,cuda,crypto,0.00005563167718433504,6.5,12.064805239571703,8.0,39,false
EU50.cash,ok,0,H4,0.00079367863441819,257,5,0.001774348568102601,0.8990759434758718,0.5284673261735288,0.0005341550370354007,0.00008021791171714742,1.218900457322699,0.05597244677269568,0.7216428479526479,600,3838,cuda,index,0.00079367863441819,0.0,3.0553009471432935,1.5,39,false
EUR_AUD,ok,0,H4,0.0001435466447218432,499,4,1.5980469186859407,0.631171797030886,0.7790131507265958,0.002379171496497622,0.00001700131474750736,2.9142400385055294,0.2604715724901227,0.9285480913631124,600,16623,cuda,forex,0.0001435466447218432,0.5,0.9579218730202742,1.5,39,false
EUR_CAD,ok,0,H4,2.6108143043520026e-6,514,7,0.12747720528822457,0.723154013323775,0.8998101343363386,1.1703777474834993,0.000014094230272210363,2.8929718931105595,0.19136323504377925,0.8363233413252724,600,15763,cuda,forex,2.6108143043520026e-6,0.5,1.0186995027483239,1.5,39,false
EUR_CHF,ok,0,H4,-0.00011654584527655879,849,3,0.007906564270581912,0.756623752720358,0.7345797350322493,2.5589276797886686,1.2643576325405832,1.663239677439223,0.014014034342185486,0.3069088370948237,600,16076,cuda,forex,-0.00011654584527655879,0.5,0.9615744178471898,1.5,39,false
EUR_CZK,ok,0,H4,-0.0011436107196432202,1717,6,0.0010010968033725863,0.6372370997931518,0.8855774342218194,0.0000746956151932014,1.4001070085568823,22.85586715630949,0.014946308305234659,0.6803754789153136,600,1527,cuda,forex,-0.0011436107196432202,0.5,6.7153330805205815,3.0,39,false
EUR_GBP,ok,0,H4,2.5284480378190977e-6,288,6,0.6760602190766861,0.8844178794187018,0.8841110746127847,0.00014371657798744163,0.0001307682642064911,16.43085305021457,0.04842104717649387,0.4828180401643344,600,16712,cuda,forex,2.5284480378190977e-6,0.5,0.8195137941734266,1.5,39,false
EUR_HUF,ok,0,H4,-0.0009048168859309768,1835,6,1.517327272933414,0.9389321738611087,0.5810428148987209,0.001307178181197435,0.00005258796787710454,1.2421077382615422,0.011794648839164663,0.6676505284787426,600,1639,cuda,forex,-0.0009048168859309768,0.5,5.593608784036237,3.0,39,false
EUR_JPY,ok,0,H4,0.00017225011364993594,896,3,1.4256600267645596,0.5126779479909865,0.534580360595002,0.00015195173717988503,0.1726533710376562,2.7522804417172115,0.29891544574903556,0.6089392607396833,600,16791,cuda,forex,0.00017225011364993594,0.5,0.8455076367446496,1.5,39,false
EUR_NOK,ok,0,H4,-0.0007507536313609028,557,6,0.003972785070129035,0.9285725396935014,0.6070970357342104,0.4222705840362624,2.194011955768176,6.579147975069978,0.013336465796608766,0.8713046514957863,600,1627,cuda,forex,-0.0007507536313609028,0.5,4.648668285665701,3.0,39,false
EUR_NZD,ok,0,H4,0.00005312182033058241,1203,6,0.013379161533689975,0.7604223188276105,0.8108134049977167,10.455165146243694,6.178700020964368,9.759317844790516,0.015187150828469253,0.4901200846916256,600,15369,cuda,forex,0.00005312182033058241,0.5,1.1960161788376298,1.5,39,false
