symbol,status,folds,parquet,error
USD_NOK,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/USD_NOK/wfo_metrics.parquet,
USD_PLN,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/USD_PLN/wfo_metrics.parquet,
USD_SEK,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/USD_SEK/wfo_metrics.parquet,
USD_SGD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_SGD/wfo_metrics.parquet,
USD_ZAR,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_ZAR/wfo_metrics.parquet,
USOIL.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/USOIL.cash/wfo_metrics.parquet,
V,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/V/wfo_metrics.parquet,
VOWG_p,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/VOWG_p/wfo_metrics.parquet,
WHEAT.c,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/WHEAT.c/wfo_metrics.parquet,
WMT,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/WMT/wfo_metrics.parquet,
XAG_AUD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XAG_AUD/wfo_metrics.parquet,
XAG_EUR,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XAG_EUR/wfo_metrics.parquet,
XAG_USD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XAG_USD/wfo_metrics.parquet,
XAU_AUD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XAU_AUD/wfo_metrics.parquet,
XAU_EUR,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XAU_EUR/wfo_metrics.parquet,
XAU_USD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XAU_USD/wfo_metrics.parquet,
XCU_USD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XCU_USD/wfo_metrics.parquet,
XMRUSD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/XMRUSD/wfo_metrics.parquet,
XPD_USD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/XPD_USD/wfo_metrics.parquet,
XPT_USD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/XPT_USD/wfo_metrics.parquet,
XRPUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/XRPUSD/wfo_metrics.parquet,
ZM,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/ZM/wfo_metrics.parquet,
