symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
NERUSD,M15,ok,crypto,10083,17,26026,400,-0.00453206124551498,0.8005766518730134,9.709604210712385,1.370953443553651,2.2472329218412703,1.4475740584894583,38,53.9,6.5,31.41126318151275,8.0
NERUSD,M30,ok,crypto,3695,12,12991,400,-0.0030524866057267674,1.2232908446196469,9.965200870796071,1.1036138113185128,4.141263134203584,0.8684240841065143,48,53.9,6.5,31.41126318151275,8.0
NVDA,H1,ok,equity,1726,7,3386,400,0.015831602618456116,1.6653445181619677,7.019915401412576,1.237950823291606,2.711245536820447,1.8401981882136103,26,11.0,0.4,5.568858940802714,2.5
NVDA,H4,ok,equity,493,8,932,400,0.0368594967089617,2.386747786113243,3.715793800075689,0.7701058941232983,1.8529702373706451,0.3604565613244781,32,11.0,0.4,5.568858940802714,2.5
NVDA,M1,ok,equity,97947,71,188850,400,-0.0008653539698229601,2.3966267620530504,7.900514503135717,0.3220138069978583,3.783072164244669,0.3001707972188961,27,11.0,0.4,5.568858940802714,2.5
NVDA,M15,ok,equity,6063,6,12701,400,0.003725870308701054,1.5698278926740987,7.571785550667787,0.6453047686665918,3.4590699855906335,0.30053900331514166,30,11.0,0.4,5.568858940802714,2.5
NVDA,M30,ok,equity,3165,4,6326,400,0.010014478953316785,2.001923131613746,6.381994183113665,0.8023066776881083,2.2199945058404067,0.3457468944702785,15,11.0,0.4,5.568858940802714,2.5
NZD_USD,H1,ok,forex,2035,37,12200,400,-0.0005240165915947918,0.5002968158995945,5.463958170556516,0.42476520995624484,1.7857799947638662,1.6877638292189228,19,4.9,0.5,1.3918853086500278,1.5
NZD_USD,H4,ok,forex,325,34,3014,400,0.0001824537445200508,0.5005523800047698,7.4560801058651425,0.6542266807459842,1.5186843146329623,1.5926403191111314,34,4.9,0.5,1.3918853086500278,1.5
NZD_USD,M1,ok,forex,383121,286,726341,400,-0.00044317692876667185,0.5000661893507442,5.94043983659355,1.3427448445667796,1.8082950643879423,0.3023036234708992,36,4.9,0.5,1.3918853086500278,1.5
NZD_USD,M15,ok,forex,16781,36,48934,400,-0.0003471435982160146,0.5009236463522396,7.260366420088574,1.0542784917587398,2.301898276960864,0.32962476495930537,32,4.9,0.5,1.3918853086500278,1.5
NZD_USD,M30,ok,forex,6343,26,24447,400,-0.00025813252441428923,2.3927895717938124,7.562844011074848,0.3816898516163214,1.0544318567783135,0.3006192719505751,13,4.9,0.5,1.3918853086500278,1.5
