symbol,timeframe,best_ev,calmar_score,trials,cluster,fee_bps,spread_bps,slippage_bps,updated
US500.cash,H1,0.000017,0.000017,30,index,0.0,1.0,1.5,2026-02-23 12:47
US500.cash,H4,0.000629,0.000629,30,index,0.0,1.0,1.5,2026-02-24 12:52
USD_JPY,H4,0.000134,0.000134,30,forex,0.5,0.5,1.5,2026-02-21 16:05
USOIL.cash,H4,0.001722,0.001722,30,commodity,0.0,3.9,3.0,2026-02-24 12:52
V,H4,0.002551,0.002551,30,equity,0.4,5.6,2.5,2026-02-21 16:05
VECUSD,H4,0.008225,0.008225,30,crypto,6.5,8.9,8.0,2026-02-24 12:52
WMT,H4,0.002131,0.002131,30,equity,0.4,10.3,2.5,2026-02-21 16:05
XAG_AUD,H4,0.005263,0.005263,30,commodity,0.1,4.2,2.0,2026-02-24 12:52
XAG_EUR,H4,0.004404,0.004404,30,commodity,0.1,4.7,2.0,2026-02-24 12:52
XAG_USD,H4,0.005621,0.005621,30,commodity,0.1,5.5,2.0,2026-02-21 16:05
XAU_AUD,H1,0.000002,0.000002,30,commodity,0.1,1.0,2.0,2026-02-23 12:47
XAU_AUD,H4,0.001407,0.001407,30,commodity,0.1,1.0,2.0,2026-02-21 16:05
XAU_EUR,H4,0.001415,0.001415,30,commodity,0.1,1.6,2.0,2026-02-21 16:05
XAU_USD,H1,0.000014,0.000014,30,commodity,0.1,0.8,2.0,2026-02-19 12:55
XAU_USD,H4,0.001656,0.001656,30,commodity,0.1,0.8,2.0,2026-02-24 12:52
XCU_USD,H4,0.001382,0.001382,30,commodity,0.1,8.2,2.0,2026-02-21 16:05
XLMUSD,H4,0.003387,0.003387,30,crypto,6.5,3.2,8.0,2026-02-21 16:05
XLM_USD,H4,0.010921,0.010921,30,index,3.0,8.1,3.0,2026-02-24 12:52
XRP_USD,H4,0.008804,0.008804,30,index,3.0,2.0,3.0,2026-02-24 12:52
ZM,H4,0.003880,0.003880,30,equity,0.4,16.1,2.5,2026-02-24 12:52
