symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
DBKGn,M30,ok,equity,bars,12287,25,23158,400,0.0003324452750761154,1.8343546822466008,6.534253713060748,1.2469902590484208,1.247642601688656,0.3031041297374057,19,12.0,3.0,3.0,3.0
DOGEUSD,H1,ok,crypto,bars,7350,123,37953,400,-0.00006625296929828461,1.2632011162822707,9.50282060010511,1.5531911440322639,4.3108062603938455,0.9124176179393003,32,24.0,3.0,15.0,3.0
DOGEUSD,H4,ok,crypto,bars,4843,119,9799,400,0.0006884002227611424,1.3896346017688899,9.537122510880884,1.9504244793827357,4.933048827830982,0.5434560381238523,44,24.0,3.0,15.0,3.0
DOGEUSD,M1,ok,crypto,bars,16778,36,100069,400,-0.001992286134870574,2.1392792477581106,9.995940327398165,1.4930709023025945,4.412099899554066,0.5602506119817092,47,24.0,3.0,15.0,3.0
DOGEUSD,M15,ok,crypto,bars,18918,79,100182,400,-0.00151841917660718,0.8000919895820208,9.41144404015038,0.35992114215618487,4.49205708201585,0.5001939353715802,46,24.0,3.0,15.0,3.0
DOGEUSD,M30,ok,crypto,bars,13756,88,73552,400,-0.0005429226724849734,1.2891410965257892,8.950400161980191,1.926399580171276,4.998552159476227,0.6473555849547556,45,24.0,3.0,15.0,3.0
EU50.cash,H1,ok,index,bars,14283,86,27050,400,-0.00003792959783225131,0.558962752623193,6.7286270587866,0.9590900548702656,1.3329012316593452,0.9995076875459696,16,6.0,0.0,2.0,2.0
EU50.cash,H4,ok,index,bars,3991,88,7356,400,0.0001600636169651246,1.323202747666071,7.632264018972288,0.40382194304571817,3.2125102651348643,1.8621530979815346,34,6.0,0.0,2.0,2.0
EU50.cash,M1,ok,index,bars,43292,36,100067,400,-0.0005224668979113413,2.187480991294138,5.757462949310879,1.3805736745020334,1.4203183932589962,0.30027426842586286,28,6.0,0.0,2.0,2.0
EU50.cash,M15,ok,index,bars,48721,73,93085,400,-0.0003071146720023999,1.5933471947154052,6.4686842041039965,0.4279785854508808,1.054042894825234,0.301643494547113,34,6.0,0.0,2.0,2.0
