symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon
XAU_AUD,H4,commodity,0.001029,1.5,6.0,0.8,2.5,1.0,30
ETHUSD,H4,crypto,0.001026,1.5,6.0,1.0,3.0,1.0,30
ALVG,H4,equity,0.000999,1.5,4.5,1.0,2.0,0.5,24
US30.cash,H4,index,0.00098,1.5,6.0,0.8,2.5,1.0,30
XAU_EUR,H4,commodity,0.000915,1.5,6.0,0.8,2.5,1.0,30
US500.cash,H4,index,0.000912,1.5,6.0,0.8,2.5,1.0,30
BCHUSD,H4,crypto,0.000693,1.5,6.0,1.0,3.0,1.0,30
SPN35.cash,H4,index,0.00066,1.5,6.0,0.8,2.5,1.0,30
CAD_JPY,H4,forex,0.000658,1.5,6.0,0.8,2.5,1.0,30
USD_JPY,H4,forex,0.000609,1.5,6.0,0.8,2.5,1.0,30
AUS200.cash,H4,index,0.000529,1.5,6.0,0.8,2.5,1.0,30
EUR_USD,H4,forex,0.000461,1.5,6.0,0.8,2.5,1.0,30
AUD_JPY,H4,forex,0.000397,1.5,6.0,0.8,2.5,1.0,30
ALGUSD,H4,crypto,0.000357,1.5,6.0,1.0,3.0,1.0,30
USD_CHF,H4,forex,0.00028,1.5,6.0,0.8,2.5,1.0,30
NZD_JPY,H4,forex,0.000273,1.5,6.0,0.8,2.5,1.0,30
AUD_USD,H4,forex,0.000239,1.5,6.0,0.8,2.5,1.0,30
GBP_CHF,H4,forex,0.000161,1.5,6.0,0.8,2.5,1.0,30
AUD_CHF,H4,forex,0.000157,1.5,6.0,0.8,2.5,1.0,30
NZD_USD,H4,forex,0.000145,1.5,6.0,0.8,2.5,1.0,30
CAD_CHF,H4,index,0.000139,1.5,6.0,0.8,2.5,1.0,30
LTCUSD,H4,crypto,0.000108,1.5,6.0,1.0,3.0,1.0,30
GBP_JPY,H4,forex,0.000046,1.5,6.0,0.8,2.5,1.0,30
EUR_JPY,H4,forex,0.000013,1.5,6.0,0.8,2.5,1.0,30
GBP_USD,H4,forex,9e-6,1.5,6.0,0.8,2.5,1.0,30
CHF_JPY,H4,forex,-4e-6,1.5,6.0,0.8,2.5,1.0,30
EUR_AUD,H4,forex,-7e-6,1.5,6.0,0.8,2.5,1.0,30
AUD_CAD,H4,forex,-9e-6,1.5,6.0,0.8,2.5,1.0,30
GBP_AUD,H4,forex,-0.000014,1.5,6.0,0.8,2.5,1.0,30
GBP_NZD,H4,forex,-0.000014,1.5,6.0,0.8,2.5,1.0,30
DOGEUSD,H4,crypto,-0.000015,1.5,6.0,1.0,3.0,1.0,30
EUR_NZD,H4,forex,-0.000015,1.5,6.0,0.8,2.5,1.0,30
NZD_CHF,H4,forex,-0.000018,1.5,6.0,0.8,2.5,1.0,30
BTCUSD,H4,crypto,-0.000051,1.5,6.0,1.0,3.0,1.0,30
EUR_CAD,H4,forex,-0.000053,1.5,6.0,0.8,2.5,1.0,30
GBP_CAD,H4,forex,-0.000083,1.5,6.0,0.8,2.5,1.0,30
USD_CAD,H4,forex,-0.000083,1.5,6.0,0.8,2.5,1.0,30
NZD_CAD,H4,forex,-0.000099,1.5,6.0,0.8,2.5,1.0,30
EUR_GBP,H4,forex,-0.000118,1.5,6.0,0.8,2.5,1.0,30
EUR_CHF,H4,forex,-0.000147,1.5,6.0,0.8,2.5,1.0,30
AUD_NZD,H4,forex,-0.0002,1.5,6.0,0.8,2.5,1.0,30
USD_MXN,H4,forex,-0.000268,1.5,6.0,0.8,2.5,1.0,30
USD_NOK,H4,forex,-0.000474,1.5,6.0,0.8,2.5,1.0,30
USD_SEK,H4,forex,-0.000517,1.5,6.0,0.8,2.5,1.0,30
USD_PLN,H4,forex,-0.000518,1.5,6.0,0.8,2.5,1.0,30
DXY.cash,H4,forex,-0.000521,1.5,6.0,0.8,2.5,1.0,30
USD_ZAR,H4,forex,-0.000541,1.5,6.0,0.8,2.5,1.0,30
USD_HUF,H4,forex,-0.000577,1.5,6.0,0.8,2.5,1.0,30
USD_CNH,H4,forex,-0.000619,1.5,6.0,0.8,2.5,1.0,30
USD_ILS,H4,forex,-0.000624,1.5,6.0,0.8,2.5,1.0,30
USD_HKD,H4,forex,-0.000653,1.5,6.0,0.8,2.5,1.0,30
USD_SGD,H4,forex,-0.000656,1.5,6.0,0.8,2.5,1.0,30
EUR_NOK,H4,forex,-0.00068,1.5,6.0,0.8,2.5,1.0,30
N25.cash,H4,index,-0.000745,1.5,6.0,0.8,2.5,1.0,30
USD_CZK,H4,forex,-0.000774,1.5,6.0,0.8,2.5,1.0,30
GBPJPY,H4,forex,-0.000845,1.5,6.0,0.8,2.5,1.0,30
NZDUSD,H4,forex,-0.000869,1.5,6.0,0.8,2.5,1.0,30
EUR_HUF,H4,forex,-0.000883,1.5,6.0,0.8,2.5,1.0,30
XPT_USD,H4,commodity,-0.000895,1.5,6.0,0.8,2.5,1.0,30
VOWG_p,H4,equity,-0.000926,1.5,4.5,1.0,2.0,0.5,24
EUR_PLN,H4,forex,-0.000943,1.5,6.0,0.8,2.5,1.0,30
CADCHF,H4,index,-0.001039,1.5,6.0,0.8,2.5,1.0,30
EUR_CZK,H4,forex,-0.001139,1.5,6.0,0.8,2.5,1.0,30
AUDNZD,H4,forex,-0.00115,1.5,6.0,0.8,2.5,1.0,30
USDZAR,H4,forex,-0.001191,1.5,6.0,0.8,2.5,1.0,30
DOTUSD,H4,crypto,-0.001251,1.5,6.0,1.0,3.0,1.0,30
USDCNH,H4,forex,-0.001269,1.5,6.0,0.8,2.5,1.0,30
ADAUSD,H4,crypto,-0.001319,1.5,6.0,1.0,3.0,1.0,30
WHEAT.c,H4,commodity,-0.001405,1.5,6.0,0.8,2.5,1.0,30
AIRF,H4,equity,-0.001603,1.5,4.5,1.0,2.0,0.5,24
CORN.c,H4,commodity,-0.001619,1.5,6.0,0.8,2.5,1.0,30
SOYBEAN.c,H4,commodity,-0.001645,1.5,6.0,0.8,2.5,1.0,30
IBE,H4,equity,-0.00201,1.5,4.5,1.0,2.0,0.5,24
XRPUSD,H4,crypto,-0.002551,1.5,6.0,1.0,3.0,1.0,30
XPD_USD,H4,commodity,-0.002717,1.5,6.0,0.8,2.5,1.0,30
XTZUSD,H4,crypto,-0.003077,1.5,6.0,1.0,3.0,1.0,30
NATGAS.cash,H4,commodity,-0.007839,1.5,6.0,0.8,2.5,1.0,30
XMRUSD,H4,crypto,-0.008131,1.5,6.0,1.0,3.0,1.0,30
NEOUSD,H4,crypto,-0.021673,1.5,6.0,1.0,3.0,1.0,30
HEATOIL.c,H4,commodity,-0.039881,1.5,6.0,0.8,2.5,1.0,30
