symbol,timeframe,best_ev,calmar_score,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,spread_bps,cluster
LNKUSD,H1,-0.0002300399991122905,-0.0002300399991122905,2.0,9.0,1.0,3.0,1.2,40,1.97089642939271,crypto
LTCUSD,H1,-0.0026361193066604433,-0.0026361193066604433,2.0,9.0,1.0,3.0,1.2,40,27.996500437444723,crypto
MANUSD,H1,-0.0010810846508211916,-0.0010810846508211916,2.0,9.0,1.0,3.0,1.2,40,11.935548040581759,crypto
NEOUSD,H1,-0.024148092964314513,-0.024148092964314513,2.0,9.0,1.0,3.0,1.2,40,241.29610479145097,crypto
NERUSD,H1,-0.0029101710225791517,-0.0029101710225791517,2.0,9.0,1.0,3.0,1.2,40,31.695721077654152,crypto
SANUSD,H1,-0.0011407624310509875,-0.0011407624310509875,2.0,9.0,1.0,3.0,1.2,40,11.212857409828702,crypto
SOLUSD,H1,-0.0005155675109515256,-0.0005155675109515256,2.0,9.0,1.0,3.0,1.2,40,1.8161455337955104,crypto
UNIUSD,H1,-0.0001662945781690627,-0.0001662945781690627,2.03,9.19,1.11,1.95,0.86,36,3.002418614994341,crypto
VECUSD,H1,-0.0009965699037866459,-0.0009965699037866459,2.0,9.0,1.0,3.0,1.2,40,8.924587237839887,crypto
XLMUSD,H1,-0.0004189057587871119,-0.0004189057587871119,2.0,9.0,1.0,3.0,1.2,40,3.1690698779904607,crypto
XMRUSD,H1,-0.009509382145849508,-0.009509382145849508,2.0,9.0,1.0,3.0,1.2,40,94.37199725463232,crypto
XRPUSD,H1,-0.0039845217752310005,-0.0039845217752310005,2.0,9.0,1.0,3.0,1.2,40,40.39291003833391,crypto
XTZUSD,H1,-0.005316013356643404,-0.005316013356643404,2.0,9.0,1.0,3.0,1.2,40,49.50495049504955,crypto
ADAUSD,H4,-0.001866003425789701,-0.001866003425789701,2.0,9.0,1.0,3.0,1.2,40,39.07619858724527,crypto
BCHUSD,H4,0.0022966059797217132,0.0022966059797217132,2.0,9.0,1.0,3.0,1.2,40,16.891388372762457,crypto
BTCUSD,H4,0.0007671836089647041,0.0007671836089647041,2.0,9.0,1.0,3.0,1.2,40,0.25108561137939445,crypto
DASHUSD,H4,0.004130873056887778,0.004130873056887778,2.0,9.0,1.0,3.0,1.2,40,8.849557522123705,crypto
DOGEUSD,H4,0.005234056059937563,0.005234056059937563,2.0,9.0,1.0,3.0,1.2,40,24.400567686676315,crypto
DOTUSD,H4,-0.0016165477512060675,-0.0016165477512060675,2.0,9.0,1.0,3.0,1.2,40,35.13086246267427,crypto
ETHUSD,H4,0.00005546571986268283,0.00005546571986268283,2.0,9.0,1.0,3.0,1.2,40,12.069502536264531,crypto
LTCUSD,H4,0.00001905944238275511,0.00001905944238275511,2.0,9.0,1.0,3.0,1.2,40,27.996500437444723,crypto
NEOUSD,H4,-0.02200795506941778,-0.02200795506941778,2.0,9.0,1.0,3.0,1.2,40,241.29610479145097,crypto
XMRUSD,H4,-0.007897423263921665,-0.007897423263921665,2.0,9.0,1.0,3.0,1.2,40,94.37199725463232,crypto
XRPUSD,H4,-0.0019292573678855,-0.0019292573678855,2.0,9.0,1.0,3.0,1.2,40,40.39291003833391,crypto
AAVUSD,M30,-0.000549429947853361,-0.000549429947853361,2.0,9.0,1.0,3.0,1.2,40,0.651996740015707,crypto
ADAUSD,M30,-0.0046931444598622835,-0.0046931444598622835,2.0,9.0,1.0,3.0,1.2,40,39.07619858724527,crypto
ALGUSD,M30,-0.0022329369500035104,-0.0022329369500035104,2.0,9.0,1.0,3.0,1.2,40,15.673981191223021,crypto
AVAUSD,M30,-0.001655477664313195,-0.001655477664313195,2.0,9.0,1.0,3.0,1.2,40,10.062049304040782,crypto
BARUSD,M30,-0.0011232409130248558,-0.0011232409130248558,2.0,9.0,1.0,3.0,1.2,40,4.961137754257534,crypto
BCHUSD,M30,-0.002469720018476133,-0.002469720018476133,2.0,9.0,1.0,3.0,1.2,40,16.891388372762457,crypto
BNBUSD,M30,-0.0011028761250232446,-0.0011028761250232446,2.0,9.0,1.0,3.0,1.2,40,0.301750150874801,crypto
BTCUSD,M30,-0.001297029881193196,-0.001297029881193196,2.0,9.0,1.0,3.0,1.2,40,0.25108561137939445,crypto
DASHUSD,M30,-0.0015242254515910423,-0.0015242254515910423,2.0,9.0,1.0,3.0,1.2,40,8.849557522123705,crypto
DOGEUSD,M30,-0.0031383713679465418,-0.0031383713679465418,2.0,9.0,1.0,3.0,1.2,40,24.400567686676315,crypto
DOTUSD,M30,-0.0043318383222682435,-0.0043318383222682435,2.0,9.0,1.0,3.0,1.2,40,35.13086246267427,crypto
ETCUSD,M30,-0.0010776723837393472,-0.0010776723837393472,2.0,9.0,1.0,3.0,1.2,40,4.038568327527447,crypto
ETHUSD,M30,-0.002145647950699647,-0.002145647950699647,2.0,9.0,1.0,3.0,1.2,40,12.069502536264531,crypto
FETUSD,M30,-0.0006268044187079233,-0.0006268044187079233,2.0,9.0,1.0,3.0,1.2,40,2.9180040852053977,crypto
GALUSD,M30,-0.0012328577124914245,-0.0012328577124914245,2.0,9.0,1.0,3.0,1.2,40,8.82223202470189,crypto
GRTUSD,M30,-0.0008061946053756673,-0.0008061946053756673,2.0,9.0,1.0,3.0,1.2,40,4.876859302608921,crypto
ICPUSD,M30,-0.0011642201194069436,-0.0011642201194069436,2.0,9.0,1.0,3.0,1.2,40,5.974310465000725,crypto
IMXUSD,M30,-0.001107105472629796,-0.001107105472629796,2.0,9.0,1.0,3.0,1.2,40,6.928806513079284,crypto
LNKUSD,M30,-0.0009180005012053726,-0.0009180005012053726,2.0,9.0,1.0,3.0,1.2,40,1.97089642939271,crypto
LTCUSD,M30,-0.003516149897133959,-0.003516149897133959,2.0,9.0,1.0,3.0,1.2,40,27.996500437444723,crypto
MANUSD,M30,-0.0017463728184853777,-0.0017463728184853777,2.0,9.0,1.0,3.0,1.2,40,11.935548040581759,crypto
NEOUSD,M30,-0.0247912434186552,-0.0247912434186552,2.0,9.0,1.0,3.0,1.2,40,241.29610479145097,crypto
NERUSD,M30,-0.003625596284090336,-0.003625596284090336,2.0,9.0,1.0,3.0,1.2,40,31.695721077654152,crypto
SANUSD,M30,-0.0017831557997395923,-0.0017831557997395923,2.0,9.0,1.0,3.0,1.2,40,11.212857409828702,crypto
SOLUSD,M30,-0.0011577413940293511,-0.0011577413940293511,2.0,9.0,1.0,3.0,1.2,40,1.8161455337955104,crypto
UNIUSD,M30,-0.0009398914643876876,-0.0009398914643876876,2.03,9.19,1.11,1.95,0.86,36,3.002418614994341,crypto
VECUSD,M30,-0.0015696325538629345,-0.0015696325538629345,2.0,9.0,1.0,3.0,1.2,40,8.924587237839887,crypto
XLMUSD,M30,-0.0010667350920569897,-0.0010667350920569897,2.0,9.0,1.0,3.0,1.2,40,3.1690698779904607,crypto
XMRUSD,M30,-0.010214250255737004,-0.010214250255737004,2.0,9.0,1.0,3.0,1.2,40,94.2870612437328,crypto
XRPUSD,M30,-0.004756382921376583,-0.004756382921376583,2.0,9.0,1.0,3.0,1.2,40,40.38446005976903,crypto
XTZUSD,M30,-0.005802950597353977,-0.005802950597353977,2.0,9.0,1.0,3.0,1.2,40,49.50495049504955,crypto
