symbol,status,error,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
EUR_CZK,ok,,0,H1,0.001222395180627416,147,0,cuda:0,,,,,,1505,2,0.00181645333872361,0.949302930087871,0.46583895632894035,0.062135037139257596,0.00019278057594400295,1.0832404812365235,0.03,0.75
LNKUSD,ok,,0,H1,0.001143039887285324,150,0,cuda:0,,,,,,149,5,0.40456661882608286,0.5816490790821456,0.8027029311497655,0.010231460419598794,0.5242979882037402,1.2010226966747095,0.03,0.75
EUR_NOK,ok,,0,H1,0.001096518884165909,146,0,cuda:0,,,,,,1811,2,0.009782879660536882,0.9398502977266304,0.6908919024473453,0.1144828910856619,22.976075413128186,0.5014240800341229,0.03,0.75
SOLUSD,ok,,0,H1,0.001083692705491508,150,0,cuda:0,,,,,,1305,6,1.4843762219364447,0.5570958047457651,0.34342773809590077,0.0037933347246029516,0.09497528928917812,1.5189945974929786,0.03,0.75
USD_NOK,ok,,0,H1,0.0010781288214348945,144,0,cuda:0,,,,,,1985,5,0.1543943726043388,0.9071593355753559,0.9428020494996112,0.003030796082152264,0.00003086956185848489,0.5038092015918109,0.03,0.75
EUR_PLN,ok,,0,H1,0.001068385183480111,146,0,cuda:0,,,,,,1397,4,1.5400585880857973,0.7144517796013792,0.4514679086975508,0.0028335086003656727,1.3483345609574753,3.140311448324659,0.03,0.75
EUR_HUF,ok,,0,H1,0.0010465540759008502,145,0,cuda:0,,,,,,379,5,0.0010253316273511057,0.9072639954674243,0.6924441235662485,0.00005226679645351173,1.1826307557984164,0.7624276010658372,0.03,0.75
JP225.cash,ok,,0,H1,0.0008983312138396248,1000,6107,cuda:0,,,,,,1849,9,0.006329864457762847,0.7671330367474289,0.631013498715423,0.0034610944685621614,0.002686979481702298,0.5418511465497949,0.03,0.75
AAPL,ok,,0,M30,0.0011348392821423,600,3397,cuda,equity,0.0011348392821423,0.4,4.245710867090478,2.5,449,9,0.002538625196397839,0.45361026919160374,0.8850652399032894,0.00013065976798895402,0.000021779072697667594,0.3010708580400611,0.2681193244035134,0.37533924991408246
AMZN,ok,,0,M30,0.0017762837927276693,600,3381,cuda,equity,0.0017762837927276693,0.4,4.884872438218071,2.5,1558,2,0.004210558541450255,0.4495078372832829,0.5579677404120862,0.00025603614989197455,0.00004786721559564043,1.5530886333441436,0.27385965967004444,0.6534839107240479
LVMH,ok,,0,M30,0.001895999945309458,600,4450,cuda,equity,0.001895999945309458,0.4,2.429656764257795,2.5,1094,8,0.0850222598585323,0.4070873128026601,0.8963203516644708,0.00002244432966411328,0.12101775801720514,0.769370708453794,0.2137090077528915,0.889172666505554
META,ok,,0,M30,0.0017717526812463446,600,3312,cuda,equity,0.0017717526812463446,0.4,5.26092147062971,2.5,932,9,0.0032138783866374,0.8272904481542781,0.5537423633598467,0.00021040588006611006,0.0002212467203627971,1.115632143136887,0.2780969863189524,0.9204058295880958
NVDA,ok,,0,M30,0.002431124632763561,600,3310,cuda,equity,0.002431124632763561,0.4,5.568858940802714,2.5,868,7,0.0058536161841826724,0.44701356506736123,0.7762590010607976,0.000015037839059169028,0.004337365268349589,2.106815089150506,0.2831102632128589,0.41970539074462737
TSLA,ok,,0,M30,0.004475163054565171,600,3378,cuda,equity,0.004475163054565171,0.4,5.459654757124338,2.5,634,4,0.0010068995888391852,0.43644454330429255,0.7174274863359077,0.0016664249945325586,0.052844911951348474,0.3544271891428441,0.28066180568539084,0.4130647402359623
BABA,ok,,0,M30,0.0007700835965930355,600,3439,cuda,equity,0.0007700835965930355,0.4,7.91870133298169,2.5,245,7,0.001280018187765574,0.8646098652178944,0.3153039830662203,0.007951964927400012,8.537917428924468,29.185784832364973,0.01749131203377873,0.6040747829456415
MSFT,ok,,0,M30,0.00026400730438825735,600,3318,cuda,equity,0.00026400730438825735,0.4,3.352490421456973,2.5,1381,3,0.013308045242266342,0.8477672645202377,0.8289551292370526,0.00035135034344845967,0.00001798793644231584,1.0330995101219342,0.29900564245763545,0.7225577910525499
FETUSD,ok,,0,H1,0.0011548226778546806,600,3411,cuda,crypto,0.0011548226778546806,6.5,2.9027576197400435,8.0,1982,7,1.9315640181004057,0.8394158987368379,0.747417192873469,0.008742413016921921,0.7758285120587538,120.97112078057316,0.012421347412997715,0.6458120935058903
HK50.cash,ok,,0,H1,0.0008667426305533937,600,4908,cuda,index,0.0008667426305533937,0.0,2.636512772439653,1.5,1296,5,0.07439263527412829,0.42842749383727013,0.6914257312582758,0.0037377345641245977,0.0002264024079931962,1.4173757300099181,0.21348948257671688,0.6531173996426807
US100.cash,ok,,0,H1,0.0004637445257106406,600,5867,cuda,index,0.0004637445257106406,0.0,0.617091902983242,1.5,1677,5,0.021958704786786132,0.8262323427457231,0.3918266216441114,0.01117525793314753,3.6994906625001405,2.4539846022038088,0.25526124860372956,0.5957995003428921
