symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
AUDCAD,ok,,0,H4,-0.0005605056973400119,1222,4,0.16438329334687943,0.7235855720443931,0.8941592707994279,2.3140090379188885,0.000018484411830070295,3.5516630322871237,0.2387998086481336,0.5526650780170324,150,15541,cuda,forex,-0.0005605056973400119,3.0,1.251443426225186,3.0,39,false,ftmo_100k
AUDCHF,ok,,0,H4,-0.0004870770380360409,970,8,0.03853152475232849,0.8422994678569694,0.5175228671482787,0.0011272901626115867,7.5976763445091535,44.804835192504164,0.023742908846886006,0.7935046388250035,150,15631,cuda,forex,-0.0004870770380360409,3.0,1.592483477984526,3.0,39,false,ftmo_100k
AUDJPY,ok,,0,H4,-0.0003595435297831694,374,6,0.11214447335541806,0.8476498000618756,0.6126894213087216,0.00023183060805725112,4.00459803053484,41.84043128609038,0.009692343534720257,0.4138757291942551,150,16604,cuda,forex,-0.0003595435297831694,3.0,1.2294200211050903,3.0,39,false,ftmo_100k
AUDNZD,ok,,0,H4,-0.000643034384306553,1820,2,0.0022410246233478498,0.7162670523835792,0.6243027456966287,0.0000213013744128096,14.786762851837562,11.50938461348578,0.026063471641617764,0.7900049788847454,150,15673,cuda,forex,-0.000643034384306553,3.0,1.0817242684830437,3.0,39,false,ftmo_100k
AUDUSD,ok,,0,H4,-0.00034711251188354234,1215,5,0.005681205129481152,0.7766067718027085,0.4674215228707057,0.00904540280604143,0.0000313103470617163,31.30431608869355,0.02985437398798909,0.8092602753288678,150,16989,cuda,forex,-0.00034711251188354234,3.0,0.6350315134377268,3.0,39,false,ftmo_100k
AUD_CAD,ok,,0,H4,6.436148509848108e-6,1456,2,0.47831535253258367,0.5002872484342162,0.5440026224118404,0.000019303732161932042,0.000252528129689424,4.4409880289575066,0.09422238855573564,0.7250798554805111,150,15541,cuda,forex,6.436148509848108e-6,0.5,1.251443426225186,1.5,39,false,ftmo_100k
AUD_CHF,ok,,0,H4,0.00013315493674656025,976,4,0.001280647817635693,0.8682155882350943,0.5099847493746873,0.05295740160266956,0.0030416213990730827,6.741422609815267,0.22772870488644614,0.9300401559248838,150,15631,cuda,forex,0.00013315493674656025,0.5,1.592483477984526,1.5,39,false,ftmo_100k
AUD_JPY,ok,,0,H4,0.0004088202929952673,1286,4,0.012163577228459278,0.6454555580176393,0.4903321321576254,0.000022493791267109407,0.000015397882545892407,8.96867015825793,0.15638203496825848,0.8732366302172127,150,16604,cuda,forex,0.0004088202929952673,0.5,1.2294200211050903,1.5,39,false,ftmo_100k
AUD_NZD,ok,,0,H4,-0.00009303438430655283,980,2,0.4169861292920007,0.9036174102390534,0.5250238601426174,0.00005859268352803638,23.19947602038402,21.42217090085281,0.06858146022635003,0.5097257832290664,150,15673,cuda,forex,-0.00009303438430655283,0.5,1.0817242684830437,1.5,39,false,ftmo_100k
AUD_USD,ok,,0,H4,0.0005554808996067869,148,3,0.0014737741134426665,0.914452127894746,0.6683651990341734,0.12809140277666636,1.0726559987142463,1.481252687992132,0.29522429832346747,0.31584360544558976,150,16989,cuda,forex,0.0005554808996067869,0.5,0.6350315134377268,1.5,39,false,ftmo_100k
