symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
GBPJPY,killed_negative_ev,6313,forex,0,H1,-0.0011347848784582612,200,cuda,-0.0011347848784582612,3.0,0.9527086034880081,5.0,,,,,,,,,,
GBP_AUD,killed_negative_ev,6367,forex,0,H1,-0.0002519640794579559,200,cuda,-0.0002519640794579559,0.5,1.1241474197159549,1.5,,,,,,,,,,
GBP_CAD,killed_negative_ev,6085,forex,0,H1,-0.0002656886730745502,200,cuda,-0.0002656886730745502,0.5,0.9585484193831207,1.5,,,,,,,,,,
GBP_CHF,killed_negative_ev,6167,forex,0,H1,-0.000281654681443065,200,cuda,-0.000281654681443065,0.5,1.2674615461222827,1.5,,,,,,,,,,
GBP_JPY,killed_negative_ev,6313,forex,0,H1,-0.0001757866960438498,200,cuda,-0.0001757866960438498,0.5,0.9527086034880081,1.5,,,,,,,,,,
GBP_NZD,killed_negative_ev,6482,forex,0,H1,-0.00024793588917306153,200,cuda,-0.00024793588917306153,0.5,1.023438977451746,1.5,,,,,,,,,,
GBP_USD,killed_negative_ev,6230,forex,0,H1,-0.00018922339444394084,200,cuda,-0.00018922339444394084,0.5,0.5334044539273007,1.5,,,,,,,,,,
GER40.cash,ok,6018,index,0,H1,0.00017503970218670731,600,cuda,0.00017503970218670731,0.0,0.6510143715328602,1.5,1471,9,0.08882711331927728,0.8138292721543596,0.8998485368916977,0.1010067104516752,0.00012363793948381915,2.062240208954156,0.00896428961029745,0.999559998265821
GOOG,insufficient_rows,1834,equity,,,,,,,,,,,,,,,,,,,
GRTUSD,killed_negative_ev,3517,crypto,0,H1,-0.0004577081800608159,200,cuda,-0.0004577081800608159,6.5,4.847701381594136,8.0,,,,,,,,,,
HEATOIL.c,killed_negative_ev,3249,commodity,0,H1,-0.04072625029237029,200,cuda,-0.04072625029237029,0.13999999999999999,410.4403267583174,3.0,,,,,,,,,,
HK50.cash,ok,4908,index,0,H1,0.0008736971990047787,600,cuda,0.0008736971990047787,0.0,2.636512772439653,1.5,1016,5,0.00535204492159893,0.40359222393464,0.4990921715186015,0.00015165541047978384,0.8277045579827372,1.394555385480354,0.2592357685074586,0.7746469581576311
IBE,insufficient_rows,2441,equity,,,,,,,,,,,,,,,,,,,
ICPUSD,ok,3430,crypto,0,H1,0.0008473790605362378,600,cuda,0.0008473790605362378,6.5,5.96006754743243,8.0,1403,3,0.807278047614567,0.48084416489673293,0.6759090650884393,0.2394569258515159,0.042063568908457354,28.9153937533084,0.014640416174428045,0.6716656203982748
IMXUSD,killed_negative_ev,3460,crypto,0,H1,-0.00032250007910277916,200,cuda,-0.00032250007910277916,6.5,6.926646810278381,8.0,,,,,,,,,,
