symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled,error
USD_PLN,killed_negative_ev,12539,forex,0,M30,-0.0009571462922342004,40,cuda,-0.0009571462922342004,0.5,4.982873113502836,3.0,,,,,,,,,,,,,
USD_SEK,killed_negative_ev,12383,forex,0,M30,-0.0009614094200762005,40,cuda,-0.0009614094200762005,0.5,5.204350412098774,3.0,,,,,,,,,,,,,
USD_SGD,killed_negative_ev,5545,forex,0,M30,-0.0008005793850372917,40,cuda,-0.0008005793850372917,0.5,2.2344704305093774,3.0,,,,,,,,,,,,,
USD_ZAR,killed_negative_ev,12029,forex,0,M30,-0.000977549189297234,40,cuda,-0.000977549189297234,0.5,5.542311514787658,3.0,,,,,,,,,,,,,
USOIL.cash,killed_negative_ev,12244,commodity,0,M30,-0.00038678803842162796,40,cuda,-0.00038678803842162796,0.0,3.8984148542171044,3.0,,,,,,,,,,,,,
V,insufficient_rows,3295,equity,,,,,,,,,,,,,,,,,,,,,,
VECUSD,killed_negative_ev,6804,crypto,0,M30,-0.0017876367534969038,40,cuda,-0.0017876367534969038,6.5,8.81445570736124,8.0,,,,,,,,,,,,,
VOWG_p,killed_negative_ev,4473,equity,0,M30,-0.0025238299293785897,40,cuda,-0.0025238299293785897,0.4,28.74198540791566,2.5,,,,,,,,,,,,,
WHEAT.c,killed_negative_ev,9213,commodity,0,M30,-0.002308995685656394,40,cuda,-0.002308995685656394,0.0,20.51097517092455,4.0,,,,,,,,,,,,,
WMT,insufficient_rows,3442,equity,,,,,,,,,,,,,,,,,,,,,,
XAG_AUD,killed_negative_ev,11885,commodity,0,M30,-0.00020066787376107794,40,cuda,-0.00020066787376107794,0.13999999999999999,4.121826865349976,2.0,,,,,,,,,,,,,
XAG_EUR,killed_negative_ev,11929,commodity,0,M30,-0.00023058448242857814,40,cuda,-0.00023058448242857814,0.13999999999999999,4.552049844945301,2.0,,,,,,,,,,,,,
XAG_USD,killed_negative_ev,12077,commodity,0,M30,-0.0003103202370766636,40,cuda,-0.0003103202370766636,0.13999999999999999,5.362183985995067,2.0,,,,,,,,,,,,,
XAU_AUD,killed_negative_ev,12007,commodity,0,M30,-0.00016346104318412023,40,cuda,-0.00016346104318412023,0.13999999999999999,0.9751875712335176,2.0,,,,,,,,,,,,,
XAU_EUR,killed_negative_ev,12084,commodity,0,M30,-0.0002370959753195074,40,cuda,-0.0002370959753195074,0.13999999999999999,1.5961437167796138,2.0,,,,,,,,,,,,,
XAU_USD,killed_negative_ev,12116,commodity,0,M30,-0.0001513290229984769,40,cuda,-0.0001513290229984769,0.13999999999999999,0.7966611047918627,2.0,,,,,,,,,,,,,
XCU_USD,killed_negative_ev,6349,commodity,0,M30,-0.0006706913623309059,40,cuda,-0.0006706913623309059,0.13999999999999999,8.34999670394857,2.0,,,,,,,,,,,,,
XLMUSD,killed_negative_ev,6755,crypto,0,M30,-0.0013258137541256197,40,cuda,-0.0013258137541256197,6.5,3.100294527979816,8.0,,,,,,,,,,,,,
XMRUSD,killed_negative_ev,16712,crypto,0,M30,-0.010670427024410777,40,cuda,-0.010670427024410777,6.5,97.69961808331063,8.0,,,,,,,,,,,,,
XPD_USD,killed_negative_ev,11846,commodity,0,M30,-0.004185108122866562,40,cuda,-0.004185108122866562,0.13999999999999999,46.62875319292502,2.0,,,,,,,,,,,,,
XPT_USD,killed_negative_ev,12013,commodity,0,M30,-0.002303333284586168,40,cuda,-0.002303333284586168,0.13999999999999999,25.863201643074046,2.0,,,,,,,,,,,,,
XRPUSD,killed_negative_ev,16560,crypto,0,M30,-0.004951855076895063,40,cuda,-0.004951855076895063,6.5,40.947645510383644,8.0,,,,,,,,,,,,,
XTZUSD,killed_negative_ev,6750,crypto,0,M30,-0.00583703987569457,40,cuda,-0.00583703987569457,6.5,48.979591836734734,8.0,,,,,,,,,,,,,
ZM,insufficient_rows,3420,equity,,,,,,,,,,,,,,,,,,,,,,
