symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,error
US500.cash,ok,0,H1,8.291827614080615e-7,80,5914,cuda,index,8.291827614080615e-7,0.0,1.046691147608667,1.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
USDCNH,killed_negative_ev,0,H1,-0.0013314391806453392,40,2771,cuda,forex,-0.0013314391806453392,3.0,0.9569105933477012,5.0,,,,,,,,,,,
USDZAR,killed_negative_ev,0,H1,-0.0015176084751428237,40,6095,cuda,forex,-0.0015176084751428237,3.0,5.542311514787658,5.0,,,,,,,,,,,
USD_CAD,killed_negative_ev,0,H1,-0.00024028650119163196,40,6306,cuda,forex,-0.00024028650119163196,0.5,0.44250724605577796,1.5,,,,,,,,,,,
USD_CHF,killed_negative_ev,0,H1,-0.00019864472785214384,40,6382,cuda,forex,-0.00019864472785214384,0.5,0.7569545196500347,1.5,,,,,,,,,,,
USD_CNH,killed_negative_ev,0,H1,-0.0006814391806453394,40,2771,cuda,forex,-0.0006814391806453394,0.5,0.9569105933477012,3.0,,,,,,,,,,,
USD_CZK,killed_negative_ev,0,H1,-0.0010411925620257437,40,6200,cuda,forex,-0.0010411925620257437,0.5,6.337305306378557,3.0,,,,,,,,,,,
USD_HKD,killed_negative_ev,0,H1,-0.0006785539958488958,40,5630,cuda,forex,-0.0006785539958488958,0.5,0.5248991009508555,3.0,,,,,,,,,,,
USD_HUF,killed_negative_ev,0,H1,-0.0008821274397590463,40,6069,cuda,forex,-0.0008821274397590463,0.5,5.306908725666221,3.0,,,,,,,,,,,
USD_ILS,killed_negative_ev,0,H1,-0.0009460203218502785,40,5790,cuda,forex,-0.0009460203218502785,0.5,6.289042516742918,3.0,,,,,,,,,,,
USD_JPY,killed_negative_ev,0,H1,-0.00011271959991260889,40,6506,cuda,forex,-0.00011271959991260889,0.5,0.464975705019745,1.5,,,,,,,,,,,
USD_MXN,killed_negative_ev,0,H1,-0.0005891971242687894,40,6227,cuda,forex,-0.0005891971242687894,0.5,2.5834465661268124,3.0,,,,,,,,,,,
