symbol,status,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
EURCAD,ok,0,H4,-0.0009455854502063103,1981,7,1.7956781300863438,0.568634165936091,0.42259865359935617,0.00707647612071455,25.664677470924854,7.406763175958203,0.2795097026824158,0.4977617802880218,500,15784,cuda,forex,-0.0009455854502063103,3.0,1.0185754204176465,5.0,39,false
EURCHF,ok,0,H4,-0.0011038667383807483,1004,8,0.7441715044232982,0.8416470352242098,0.4412902119647613,0.027230695944925838,0.013956174699088357,36.46799790141127,0.07605232800922546,0.5295055309218418,500,16088,cuda,forex,-0.0011038667383807483,3.0,0.9615641443406445,5.0,39,false
EURGBP,ok,0,H4,-0.0009558613094836977,679,4,0.10143675436365443,0.6909358413808748,0.4138660547931343,8.624698701669002,1.1082638756235412,4.60290392453664,0.006128232736704738,0.9248513266754674,500,16731,cuda,forex,-0.0009558613094836977,3.0,0.8194274543317217,5.0,39,false
EURJPY,ok,0,H4,-0.0008551054642591753,1255,8,0.07750630696583646,0.793460277008024,0.6154703348339846,0.1821437297822884,0.2994740595025229,11.571990302499362,0.10761066760592763,0.7853109930806066,500,16803,cuda,forex,-0.0008551054642591753,3.0,0.8454106280199278,5.0,39,false
EURNZD,ok,0,H4,-0.000887586610997323,1480,6,0.019957506693847868,0.7870766005047646,0.4451210324473189,3.402269245061565,25.63577329889495,7.193049151108533,0.010458493572686316,0.8914339005834491,500,15380,cuda,forex,-0.000887586610997323,3.0,1.1956989002406853,5.0,39,false
EURUSD,ok,0,H4,-0.0008590167257609046,1525,2,0.016313021805823728,0.6768422864141515,0.9035479687021245,0.26969091362487996,0.18211051025659986,9.72297154361505,0.04896504149820023,0.6790444089324009,500,16720,cuda,forex,-0.0008590167257609046,3.0,0.2742644000235364,5.0,39,false
FRA40.cash,ok,0,H4,0.002217027810129321,854,5,0.0500204858890253,0.6582877287305776,0.35412063328990373,0.00009679908619766782,0.0002510541683770524,0.42162660753781306,0.24902377412387833,0.9621637909228618,500,3888,cuda,index,0.002217027810129321,0.0,1.9942958184815143,1.5,39,false
GBPAUD,ok,0,H4,-0.0008643690686561095,1907,5,0.002025789730624131,0.5798569590412913,0.43933641936377144,3.4792784763897227,0.000023326436611207786,24.347264325976663,0.04759138295010835,0.5358699274543985,500,15218,cuda,forex,-0.0008643690686561095,3.0,1.1226001371511356,5.0,39,false
GBPCAD,ok,0,H4,-0.0009008680690023385,1405,8,0.9795137568501155,0.885781978764687,0.4521202736608415,0.00008330097561650938,0.00002283044273009772,18.090307538819086,0.04789086578655112,0.5081104354220985,500,15378,cuda,forex,-0.0009008680690023385,3.0,0.9567196895738688,5.0,39,false
GBPCHF,ok,0,H4,-0.0009483810436814303,296,2,0.02267788279547701,0.6922921322378742,0.42557289520315683,0.015299355277643431,0.011879206349087724,33.79883711769202,0.005844367940321,0.3807285366445584,500,16587,cuda,forex,-0.0009483810436814303,3.0,1.2627970955669419,5.0,39,false
