symbol,timeframe,status,rows,cluster,n_signals,n_folds,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,error
AUD_JPY,H4,ok,3014,forex,1632,1,200,0.0036223021761246617,1.7583254097732228,7.1341722342118805,1.4071060375533821,3.7224379330639397,1.461969689018061,33,4.7,0.5,1.235152438396819,1.5,
AUD_JPY,M15,ok,48940,forex,25185,36,200,-0.0002971196503850196,2.396302234419081,5.614408663112456,0.31918842301476474,1.001678501361533,0.3031923891638349,30,4.7,0.5,1.235152438396819,1.5,
AUD_JPY,M30,ok,24448,forex,12532,16,200,-0.00022083158686967075,0.5301485938602306,6.442443075106936,0.8403147510463824,3.070824138620959,0.32497698330232855,28,4.7,0.5,1.235152438396819,1.5,
AUD_NZD,H1,ok,12201,forex,6448,6,200,-0.00017103605159535747,2.112339509583464,6.76482435105868,1.2900065789634083,1.6336980340150042,0.3022651865181342,25,4.6,0.5,1.0823486966708575,1.5,
AUD_NZD,H4,ok,3014,forex,1633,1,200,0.0010490072116493214,2.2968937568022327,6.343985803464762,1.0861393946868059,1.9640471642588884,0.30032904141202893,23,4.6,0.5,1.0823486966708575,1.5,
AUD_NZD,M15,ok,48938,forex,25178,36,200,-0.0003672721291964795,2.412417813263519,7.50214662001453,0.39917300503464453,1.0127297444665606,0.3612771089548468,30,4.6,0.5,1.0823486966708575,1.5,
AUD_NZD,M30,ok,24447,forex,12847,16,200,-0.000340291523357218,1.5268330943260617,7.3769441696609945,1.4930310895698167,1.5294753677768294,0.3587903195161005,34,4.6,0.5,1.0823486966708575,1.5,
AUD_USD,H1,ok,12201,forex,6405,6,200,7.517541059882454e-6,2.499958757217998,5.490994013999715,1.3142702139680407,2.9803942017968197,1.9473097595824065,21,4.1,0.5,0.640717603716803,1.5,
AUD_USD,H4,ok,3014,forex,1634,1,200,-0.0002986509189497376,0.5366243961810231,7.938207629784057,0.4498972816100806,2.332751808953969,0.4310963548612763,20,4.1,0.5,0.640717603716803,1.5,
AUD_USD,M15,ok,48943,forex,25096,36,200,-0.00020972385339495552,2.493068813853622,7.0191797811044045,1.36499064268297,2.1732899962810808,0.3465204530852918,23,4.1,0.5,0.640717603716803,1.5,
AUD_USD,M30,ok,24449,forex,12643,16,200,-0.00015433979975183418,1.639596835460873,7.9285779633118025,0.48248677482205293,3.9589614499851873,0.45800709584035154,33,4.1,0.5,0.640717603716803,1.5,
AUS200.cash,H1,ok,11180,index,5883,5,200,0.00038816306179966507,2.42682267822233,7.2577827506749095,0.9409025340676573,1.1178513459719688,0.3992170206287906,17,4.6,0.0,1.5653974905465313,1.5,
AUS200.cash,H4,no_folds,2943,index,,,,,,,,,,,,,,,
AUS200.cash,M15,ok,43139,index,22661,31,200,-0.00023930951122368805,0.6621798753869013,6.881510100105451,1.0543091178411461,1.1150129046635344,0.3002263957752551,32,4.6,0.0,1.5653974905465313,1.5,
AUS200.cash,M30,ok,21835,index,11625,14,200,-0.00006440659022720957,2.1212860265089994,5.312983472017098,0.9192419914710641,1.1070619886484119,0.30061902095366766,34,4.6,0.0,1.5653974905465313,1.5,
AVAUSD,H1,ok,6473,crypto,3398,1,200,0.009712849918913734,2.2070094994194114,7.900751473177857,0.8508955485569875,2.1968690267617106,2.1135500410077017,46,32.4,6.5,9.892827699917936,8.0,
AVAUSD,H4,no_folds,1606,crypto,,,,,,,,,,,,,,,
AVAUSD,M15,ok,26025,crypto,13335,17,200,-0.0020890633756785624,1.0224591703154466,9.382340555015983,0.5997034384605864,4.939241665149281,2.343196985447795,32,32.4,6.5,9.892827699917936,8.0,
AVAUSD,M30,ok,12990,crypto,6690,6,200,0.00271330720206488,2.783016399311667,8.356425239780265,1.678912068559093,3.820540258061916,0.6338203281709683,45,32.4,6.5,9.892827699917936,8.0,
BABA,H1,no_folds,3388,equity,,,,,,,,,,,,,,,
BABA,H4,no_folds,932,equity,,,,,,,,,,,,,,,
BABA,M15,ok,12709,equity,6289,6,200,0.00289360255835495,2.436965705752357,5.597102604486502,1.1336254436393625,1.842864979463061,0.3017551166064738,36,13.3,0.4,7.91870133298169,2.5,
BABA,M30,ok,6330,equity,3440,1,200,0.011390821362173151,1.9634258608542257,5.766496146826332,0.6132311049586394,2.8012220531108074,0.30219286377047655,13,13.3,0.4,7.91870133298169,2.5,
BAC,H1,no_folds,3388,equity,,,,,,,,,,,,,,,
BAC,H4,no_folds,932,equity,,,,,,,,,,,,,,,
BAC,M15,ok,12709,equity,6585,6,200,-0.0010535066646634812,0.7950529708075718,7.3857971816838655,1.498358287112937,2.261064996201847,1.9193651184721374,25,24.4,0.4,18.96094046264722,2.5,
BAC,M30,ok,6330,equity,3405,1,200,-0.00032540525717152037,2.4989988306356747,7.3047801904240455,0.5684964435767926,1.5803842702192041,1.7671915611335738,29,24.4,0.4,18.96094046264722,2.5,
