symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled
USD_CHF,ok,1618,forex,0,H4,0.0002796990829669674,80,cuda,0.0002796990829669674,0.5,0.7569545196500347,1.5,852,7,0.005153998907396614,0.7989201156488316,0.5270066465647961,0.00002158744152088352,0.1436555142591131,0.5254523739202037,0.07508546467670646,0.9858132987458226,39,false
USD_CNH,insufficient_rows,699,forex,,,,,,,,,,,,,,,,,,,,,
USD_CZK,killed_negative_ev,1627,forex,0,H4,-0.0007742189975423001,40,cuda,-0.0007742189975423001,0.5,6.337305306378557,3.0,,,,,,,,,,,,
USD_HKD,killed_negative_ev,1532,forex,0,H4,-0.0006527456296608821,40,cuda,-0.0006527456296608821,0.5,0.5248991009508555,3.0,,,,,,,,,,,,
USD_HUF,killed_negative_ev,1607,forex,0,H4,-0.0005816439025045235,40,cuda,-0.0005816439025045235,0.5,5.306908725666221,3.0,,,,,,,,,,,,
USD_ILS,killed_negative_ev,1592,forex,0,H4,-0.0006452047704766231,40,cuda,-0.0006452047704766231,0.5,6.289042516742918,3.0,,,,,,,,,,,,
USD_JPY,ok,1599,forex,0,H4,0.0006087769157297601,80,cuda,0.0006087769157297601,0.5,0.464975705019745,1.5,799,3,0.011197272518037172,0.6461893047268789,0.7711858061108832,0.0018646576931236841,0.0010683181952595875,0.859311778448274,0.13886088303254698,0.35504475567649685,39,false
USD_MXN,killed_negative_ev,1634,forex,0,H4,-0.00040478705981684265,40,cuda,-0.00040478705981684265,0.5,2.5834465661268124,3.0,,,,,,,,,,,,
USD_NOK,killed_negative_ev,1557,forex,0,H4,-0.0004739928656123074,40,cuda,-0.0004739928656123074,0.5,4.552249370418814,3.0,,,,,,,,,,,,
USD_PLN,killed_negative_ev,1590,forex,0,H4,-0.000517687744992097,40,cuda,-0.000517687744992097,0.5,4.982873113502836,3.0,,,,,,,,,,,,
USD_SEK,killed_negative_ev,1571,forex,0,H4,-0.000517011363166927,40,cuda,-0.000517011363166927,0.5,5.204350412098774,3.0,,,,,,,,,,,,
USD_SGD,insufficient_rows,719,forex,,,,,,,,,,,,,,,,,,,,,
