symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
LTCUSD,M15,2026,1,2024-2025,4386,118,0.4322033898305085,-3.7365057859761013,-10.911721662999295,-0.4130547893200708,0.5971956563576767,cuda,27.939847152601153,8.0,38.93984715260115
LTCUSD,M30,2026,1,2024-2025,2219,167,0.41317365269461076,-4.377839823611663,-8.030801133464427,-0.5918518038727711,0.5332327624350873,cuda,27.939847152601153,8.0,38.93984715260115
LTCUSD,M5,2026,1,2024-2025,13407,86,0.38372093023255816,-5.144991729655865,-12.171022606873382,-0.34898936860210095,0.4930274046675263,cuda,27.939847152601153,8.0,38.93984715260115
MSFT,H1,2026,1,2024-2025,214,54,0.4074074074074074,-3.2815978475166663,-6.205763939875749,-0.15966636746827467,0.6207391883576886,cuda,3.352490421456973,5.0,11.352490421456974
MSFT,M1,2026,1,2024-2025,13192,74,0.44594594594594594,-4.3119986766358895,-10.289595462221266,-0.09607186449490679,0.5550091963271969,cuda,3.352490421456973,5.0,11.352490421456974
MSFT,M15,2026,1,2024-2025,827,172,0.45930232558139533,-1.6748731492467592,-3.3146755566607298,-0.2163867045222444,0.7733142324433219,cuda,3.352490421456973,5.0,11.352490421456974
MSFT,M30,2026,1,2024-2025,392,64,0.53125,2.7995295958245117,14.932806281410162,-0.08871333990338959,1.9942396398932851,cuda,3.352490421456973,5.0,11.352490421456974
MSFT,M5,2026,1,2024-2025,2545,164,0.47560975609756095,-2.4295140796943975,-5.281881497937983,-0.1442499452597893,0.6995354745442018,cuda,3.352490421456973,5.0,11.352490421456974
NFLX,H1,2026,1,2024-2025,212,88,0.5227272727272727,-1.0388015791747904,-2.62480464200226,-0.34837473379045125,0.863797247417767,cuda,11.373329542223242,5.0,19.373329542223242
NFLX,M1,2026,1,2024-2025,12977,72,0.5,-1.4945655007643106,-3.494319011082032,-0.06385002733176437,0.8118057414411951,cuda,11.373329542223242,5.0,19.373329542223242
NFLX,M15,2026,1,2024-2025,823,169,0.44970414201183434,-3.260312880164311,-6.257421383827168,-0.383316819847464,0.621818802699262,cuda,11.373329542223242,5.0,19.373329542223242
NFLX,M30,2026,1,2024-2025,397,101,0.43564356435643564,-0.3524061863192661,-1.0642878643386837,-0.37240968910690253,0.9411719048816943,cuda,11.373329542223242,5.0,19.373329542223242
