symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
XCU_USD,ok,commodity,metals,H4,0.58,3.53,6.1,1.23,3.58,0.51,33,0.5,12.4,8.2,938.89,11939.75,11.94,0.12,0.08,1.02,0.0681,17.8,157,6.4,18,3.5203,0.6812,45.9,3.8,35.0,10.2,5.1,false,true,28,129
XAU_EUR,ok,commodity,metals,H4,1.0,5.45,5.4,0.63,3.32,1.7,35,0.5,5.7,1.6,831.12,17379.06,17.38,0.06,0.05,1.01,0.002,21.7,286,7.7,35,2.0317,0.5598,44.8,5.9,33.6,13.3,2.4,false,true,21,265
DASHUSD,ok,crypto,crypto,H4,1.66,8.14,4.9,1.66,1.66,1.33,45,0.5,31.4,8.9,318.94,11377.01,11.38,0.02,0.03,1.0,-0.2363,29.4,306,11.3,50,8.5974,3.9171,47.7,3.6,20.6,19.3,8.8,false,true,24,282
XAU_USD,ok,commodity,metals,H4,0.6,2.92,4.9,0.3,1.38,1.04,21,0.5,4.9,0.8,577.76,16875.22,16.88,0.03,0.03,1.01,0.0248,24.6,337,5.6,35,1.6144,0.4946,50.7,1.5,22.3,19.0,6.5,false,true,23,314
XAU_AUD,ok,commodity,metals,H4,1.69,7.44,4.4,1.43,3.69,0.83,36,0.5,5.1,1.0,-529.9,16420.1,16.42,-0.04,-0.03,0.99,-0.0268,20.5,283,7.6,35,1.8637,0.5141,45.2,2.1,33.9,16.3,2.5,false,true,20,263
AAVUSD,ok,crypto,crypto,H4,1.63,7.35,4.5,1.76,4.55,2.41,11,0.5,23.2,0.7,-491.74,5892.87,5.89,-0.09,-0.08,0.99,-0.0286,27.8,162,5.9,18,5.7577,2.2541,37.0,1.9,29.0,11.1,21.0,true,true,22,140
XAG_USD,ok,commodity,metals,H4,1.87,6.67,3.6,1.1,3.92,1.3,35,0.5,9.6,5.5,-1427.42,14320.91,14.32,-0.07,-0.1,0.99,-0.1241,16.9,326,6.1,35,3.5602,0.8719,54.0,1.5,29.1,10.7,4.6,false,true,26,300
ETCUSD,ok,crypto,crypto,H4,1.65,6.99,4.2,0.44,2.8,1.88,19,0.5,26.5,4.0,-1475.43,11192.58,11.19,-0.22,-0.13,0.96,-0.0725,23.1,130,8.7,18,6.3,1.9843,40.8,1.5,35.4,18.5,3.8,false,true,23,107
US100.cash,ok,index,us_idx,H4,0.56,7.07,12.5,0.41,1.25,1.14,24,0.5,3.6,0.6,-1422.98,10871.82,10.87,-0.12,-0.13,0.98,0.0571,19.0,342,5.4,35,1.9504,0.3872,36.3,1.5,44.4,17.0,0.9,false,true,29,313
BABA,ok,equity,us_equity,H4,1.49,5.18,3.5,1.47,1.54,1.25,25,0.5,13.5,8.1,-1072.72,7058.44,7.06,-0.35,-0.15,0.95,-0.0372,25.6,78,5.6,8,6.6771,2.3525,44.9,2.6,29.5,20.5,2.6,true,true,32,46
IMXUSD,ok,crypto,crypto,H4,1.43,8.43,5.9,1.75,4.18,1.83,31,0.5,29.4,6.9,-1278.97,7364.36,7.36,-0.19,-0.17,0.97,-0.2931,24.8,129,9.0,18,8.4827,3.1882,48.8,3.1,25.6,17.1,5.4,true,true,23,106
